K,method_a,method_b,diff_top1,se,ci90_lo,ci90_hi,p_tost,equivalent
4,uniform,random,-0.01685393258426966,0.015319325440306777,-0.042184559781996964,0.00847669461345765,0.4187611175392249,False
4,uniform,optical_flow,0.0056179775280898875,0.014899717705800999,-0.019018824923014897,0.030254779979194672,0.16786710926509713,False
4,uniform,attention,-0.011235955056179775,0.013774130030361414,-0.034011589279217616,0.011539679166858066,0.26271167701844883,False
4,uniform,frame_diff,-0.028089887640449437,0.01856561292204995,-0.058788277165382624,0.002608501884483746,0.6682239375253842,False
4,random,optical_flow,0.022471910112359543,0.01628414923422327,-0.004454060948935832,0.049397881173654914,0.5602406427937167,False
4,random,attention,0.005617977528089885,0.01466111378724999,-0.018624291434429948,0.029860246490609716,0.16397475201484046,False
4,random,frame_diff,-0.01123595505617978,0.01759639940445376,-0.04033174227431483,0.017859832161955268,0.3095303659632599,False
4,optical_flow,attention,-0.016853932584269662,0.01485176997823136,-0.04141145308416992,0.0077035879156305935,0.4162412470748962,False
4,optical_flow,frame_diff,-0.033707865168539325,0.017634640266415046,-0.06286688395792309,-0.004548846379155556,0.7809979426980305,False
4,attention,frame_diff,-0.016853932584269662,0.020273504573524802,-0.050376334621124126,0.0166684694525848,0.43842763304803667,False
8,uniform,random,-0.02434456928838951,0.011884650568091763,-0.04399593410132751,-0.004693204475451511,0.6424355549808358,False
8,uniform,optical_flow,-0.011235955056179775,0.019497860762138525,-0.043475823844360294,0.021003913732000744,0.32681497075822075,False
8,uniform,attention,0.0056179775280898875,0.01868051208747191,-0.025270398686268666,0.03650635374244844,0.221194398423458,False
8,uniform,frame_diff,-0.016853932584269662,0.01685393258426966,-0.044722044974159214,0.01101417980561989,0.42606788605660667,False
8,random,optical_flow,0.013108614232209732,0.017080467821363916,-0.01513407598490486,0.04135130444932432,0.3435462603142131,False
8,random,attention,0.029962546816479394,0.01787123758670734,0.00041231246478785205,0.059512781168170936,0.7110421479049687,False
8,random,frame_diff,0.007490636704119848,0.015475665549813241,-0.018098500115678706,0.0330797735239184,0.20999437570468232,False
8,optical_flow,attention,0.016853932584269662,0.023194286620423478,-0.021498005938645877,0.0552058711071852,0.4461301048023844,False
8,optical_flow,frame_diff,-0.0056179775280898875,0.02455364372400629,-0.04621762389908343,0.03498166884290366,0.279398572052802,False
8,attention,frame_diff,-0.02247191011235955,0.017735468076471243,-0.05179764849247522,0.006853828267756122,0.5553445079923978,False
16,uniform,random,0.007490636704119852,0.00794751335091521,-0.005650640216031683,0.020631913624271386,0.05863692933560268,False
16,uniform,optical_flow,0.011235955056179775,0.015912467758399905,-0.015075437710720788,0.037547347823080335,0.2912443167134835,False
16,uniform,attention,-0.0056179775280898875,0.012590536749628567,-0.026436530790559118,0.015200575734379343,0.12743853461713592,False
16,uniform,frame_diff,-0.0056179775280898875,0.014899717705800997,-0.030254779979194672,0.019018824923014897,0.16786710926509718,False
16,random,optical_flow,0.0037453183520599243,0.012167197044749853,-0.016373239320912655,0.023863876025032503,0.09164151697520234,False
16,random,attention,-0.013108614232209739,0.00970819934696148,-0.029161199535481182,0.0029439710710617052,0.2393649841393386,False
16,random,frame_diff,-0.013108614232209739,0.012559024907577642,-0.0338750624116963,0.007657833947276826,0.29194461866967814,False
16,optical_flow,attention,-0.016853932584269662,0.01253375839153931,-0.037578602377309235,0.00387073720876991,0.4010497309284225,False
16,optical_flow,frame_diff,-0.016853932584269662,0.012533758391539312,-0.03757860237730924,0.0038707372087699136,0.4010497309284225,False
16,attention,frame_diff,0.0,0.011267650337919816,-0.01863114999523617,0.01863114999523617,0.03880886970777934,True
32,uniform,random,0.0018726591760299628,0.0018726591760299632,-0.0012237977561799893,0.004969116108239914,2.3566441373094372e-18,True
32,uniform,optical_flow,0.011235955056179775,0.007922544664164383,-0.0018640359406348287,0.024335946052994377,0.1350671595782105,False
32,uniform,attention,0.0,0.007967431961981996,-0.013174212502935212,0.013174212502935212,0.006481264128088289,True
32,uniform,frame_diff,0.0056179775280898875,0.005617977528089887,-0.003671393268539963,0.014907348324719738,0.0056513623248555965,True
32,random,optical_flow,0.009363295880149811,0.008155447201081393,-0.004121801325096612,0.022848393085396233,0.09692170194011236,False
32,random,attention,-0.0018726591760299628,0.008184547908002097,-0.015405874633027814,0.011660556280967887,0.014024233350266983,True
32,random,frame_diff,0.0037453183520599247,0.005931896850745211,-0.006063120556500177,0.013553757260620025,0.00338460439926088,True
32,optical_flow,attention,-0.011235955056179775,0.011235955056179775,-0.02981469664943948,0.00734278653707993,0.21821632737334068,False
32,optical_flow,frame_diff,-0.0056179775280898875,0.00974893038106926,-0.021737911922180143,0.010501956866000368,0.0709621722754288,False
32,attention,frame_diff,0.0056179775280898875,0.005617977528089887,-0.003671393268539963,0.014907348324719738,0.0056513623248555965,True
