method,K,top_1,top_5,n_queries,chance
uniform,4,0.3429895712630359,0.6315179606025493,863,0.0011587485515643105
random,4,0.2827346465816918,0.5561993047508691,863,0.0011587485515643105
optical_flow,4,0.2989571263035921,0.5561993047508691,863,0.0011587485515643105
attention,4,0.30243337195828507,0.589803012746234,863,0.0011587485515643105
frame_diff,4,0.31981460023174973,0.6106604866743917,863,0.0011587485515643105
uniform,8,0.4171494785631518,0.7497103128621089,863,0.0011587485515643105
random,8,0.3792970258787176,0.6960216299729626,863,0.0011587485515643105
optical_flow,8,0.3511008111239861,0.657010428736964,863,0.0011587485515643105
attention,8,0.41367323290845887,0.7172653534183082,863,0.0011587485515643105
frame_diff,8,0.4148319814600232,0.7473928157589803,863,0.0011587485515643105
uniform,16,0.4600231749710313,0.7728852838933952,863,0.0011587485515643105
random,16,0.4457319428350714,0.764387794515257,863,0.0011587485515643105
optical_flow,16,0.4298957126303592,0.7415990730011588,863,0.0011587485515643105
attention,16,0.46581691772885286,0.8053302433371958,863,0.0011587485515643105
frame_diff,16,0.4762456546929316,0.8006952491309386,863,0.0011587485515643105
uniform,32,0.45770567786790267,0.7809965237543454,863,0.0011587485515643105
random,32,0.46040942448821937,0.7809965237543454,863,0.0011587485515643105
optical_flow,32,0.4600231749710313,0.7728852838933952,863,0.0011587485515643105
attention,32,0.45886442641946695,0.779837775202781,863,0.0011587485515643105
frame_diff,32,0.4623406720741599,0.779837775202781,863,0.0011587485515643105
