method,K,top_1,t1_lo,t1_hi,top_5,t5_lo,t5_hi
uniform,4,0.8089887640449438,0.7471910112359551,0.8651685393258427,0.9606741573033708,0.9325842696629213,0.9887640449438202
uniform,8,0.8146067415730337,0.7584269662921348,0.8707865168539326,0.949438202247191,0.9157303370786517,0.9775280898876404
uniform,16,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9550561797752809,0.9213483146067416,0.9831460674157303
uniform,32,0.8370786516853933,0.7808988764044944,0.8876404494382022,0.9606741573033708,0.9325842696629213,0.9887640449438202
random,4,0.8258426966292135,0.7734082397003745,0.8745318352059926,0.9569288389513109,0.9288389513108615,0.9794007490636705
random,8,0.8389513108614232,0.7883895131086142,0.8857677902621723,0.9550561797752809,0.9269662921348315,0.9794007490636703
random,16,0.8183520599250936,0.7602996254681649,0.8707865168539326,0.9550561797752809,0.9250936329588016,0.9794007490636705
random,32,0.8352059925093632,0.7808988764044944,0.8876404494382022,0.9550561797752809,0.9232209737827716,0.9812734082397004
optical_flow,4,0.8033707865168539,0.7415730337078652,0.8595505617977528,0.9438202247191011,0.9101123595505618,0.9775280898876404
optical_flow,8,0.8258426966292135,0.7696629213483146,0.8764044943820225,0.9606741573033708,0.9325842696629213,0.9887640449438202
optical_flow,16,0.8146067415730337,0.7584269662921348,0.8707865168539326,0.949438202247191,0.9157303370786517,0.9775280898876404
optical_flow,32,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9606741573033708,0.9325842696629213,0.9887640449438202
attention,4,0.8202247191011236,0.7640449438202247,0.8764044943820225,0.9719101123595506,0.9438202247191011,0.9943820224719101
attention,8,0.8089887640449438,0.7528089887640449,0.8651685393258427,0.9550561797752809,0.9213483146067416,0.9831460674157303
attention,16,0.8314606741573034,0.7752808988764045,0.8820224719101124,0.9550561797752809,0.9213483146067416,0.9831460674157303
attention,32,0.8370786516853933,0.7808988764044944,0.8876404494382022,0.9606741573033708,0.9325842696629213,0.9887640449438202
frame_diff,4,0.8370786516853933,0.7808988764044944,0.8876404494382022,0.9662921348314607,0.9382022471910112,0.9887640449438202
frame_diff,8,0.8314606741573034,0.7752808988764045,0.8876404494382022,0.9606741573033708,0.9325842696629213,0.9887640449438202
frame_diff,16,0.8314606741573034,0.7752808988764045,0.8820224719101124,0.9550561797752809,0.9213483146067416,0.9831460674157303
frame_diff,32,0.8314606741573034,0.7752808988764045,0.8820224719101124,0.9550561797752809,0.9213483146067416,0.9831460674157303
