method,K,mean_cov,max_cov,n_eps
uniform,4,0.04157349327398816,0.08385963646317397,4390
random,4,0.04453946639869954,0.08655728968418992,4390
optical_flow,4,0.0430163033637547,0.08636444821987717,4390
attention,4,0.04441221695200271,0.08291601559024193,4390
frame_diff,4,0.04452189360925576,0.08286249181404201,4390
consecutive_block,4,0.06384877648378524,0.11711942732741458,4390
uniform,8,0.030838817197210017,0.0644215596292448,4390
random,8,0.03437387213632804,0.06844286157854958,4390
optical_flow,8,0.03677216720871271,0.07141288863770782,4390
attention,8,0.03367785991886567,0.06329665614423556,4390
frame_diff,8,0.03347136978206388,0.06320281220188445,4390
consecutive_block,8,0.055318288329632315,0.09898704286316805,4390
uniform,16,0.02207673652742508,0.04396970129501847,4390
random,16,0.02358561446903494,0.044547632266466776,4390
optical_flow,16,0.030844127150159117,0.05249251606524127,4390
attention,16,0.022966606914930805,0.039897256750180674,4390
frame_diff,16,0.022525786603896418,0.03984711346702315,4390
consecutive_block,16,0.04646755204639973,0.07214224001812772,4390
uniform,32,0.0058420712045544505,0.009624691405980625,4390
random,32,0.006202042640640133,0.00986983132525294,4390
optical_flow,32,0.008660319041044945,0.012191720093029778,4390
attention,32,0.004499201166734168,0.007023343830825528,4390
frame_diff,32,0.004218438952290909,0.0067384865533789634,4390
consecutive_block,32,0.011314432043582201,0.01492156713589992,4390
