method,vs,K,diff_mean_cov,p_value,sig_0.05
random,uniform,4,0.0029659731247113704,0.0,True
optical_flow,uniform,4,0.001442810089766538,0.0,True
attention,uniform,4,0.0028387236780145447,0.0,True
frame_diff,uniform,4,0.0029484003352675935,0.0,True
consecutive_block,uniform,4,0.02227528320979709,0.0,True
random,uniform,8,0.003535054939118021,0.0,True
optical_flow,uniform,8,0.005933350011502692,0.0,True
attention,uniform,8,0.0028390427216556527,0.0,True
frame_diff,uniform,8,0.0026325525848538635,0.0,True
consecutive_block,uniform,8,0.024479471132422295,0.0,True
random,uniform,16,0.001508877941609863,0.0,True
optical_flow,uniform,16,0.00876739062273404,0.0,True
attention,uniform,16,0.0008898703875057272,0.0,True
frame_diff,uniform,16,0.00044905007647134043,0.0003,True
consecutive_block,uniform,16,0.024390815518974648,0.0,True
random,uniform,32,0.00035997143608568156,0.0,True
optical_flow,uniform,32,0.0028182478364904948,0.0,True
attention,uniform,32,-0.0013428700378202835,0.0,True
frame_diff,uniform,32,-0.0016236322522635417,0.0,True
consecutive_block,uniform,32,0.00547236083902775,0.0,True
