method,K,mean_cov,mean_cov_highvel,mean_cov_lowvel,velocity_ratio,max_gap_ratio
uniform,4,0.04157349327398816,0.048471874639324015,0.034072713814527304,1.0193068060060697,1.0453624247038338
random,4,0.04453946639869954,0.050594531554423255,0.03788811737472077,1.017704879294597,1.725499793957477
optical_flow,4,0.0430163033637547,0.0495033127029326,0.03556163720111792,0.9213148829175972,1.4867981961188248
attention,4,0.04441221695200271,0.049060544700856086,0.03953168053754896,1.1116217094174288,1.4985233264835798
frame_diff,4,0.04452189360925576,0.049056154703148606,0.0397657520067719,1.11041875143565,1.4932194675495825
uniform,8,0.030838817197210017,0.03868496430134424,0.023315224020646275,1.0280745902454418,1.1318886908647854
random,8,0.03437387213632804,0.04082330112809721,0.02749362152316863,1.0004488769745081,2.3664135460707545
optical_flow,8,0.03677216720871271,0.04233249395501581,0.02992998406377563,0.9216935873767814,2.1646493455308033
attention,8,0.03367785991886567,0.039458855995488366,0.028796545333273315,1.1108970246630037,2.148188208998551
frame_diff,8,0.03347136978206388,0.039138532653382505,0.028665629631593262,1.110562802230956,2.1417481676876813
uniform,16,0.02207673652742508,0.03543812164401852,0.017669512681644774,1.0103566940245807,1.3085264397804912
random,16,0.02358561446903494,0.03397127545288637,0.020901791827944893,1.000191294812015,2.2282867844266274
optical_flow,16,0.030844127150159117,0.040435841720922766,0.029918967569415516,0.956381656735209,3.0388370250743137
attention,16,0.022966606914930805,0.03366512287416887,0.02377255254368619,1.0741302131280024,2.97467397723365
frame_diff,16,0.022525786603896418,0.03319607179116058,0.023252561548459977,1.0766792259086984,2.934765590750536
uniform,32,0.0058420712045544505,0.032235903714413226,0.017107187017571433,0.9980756529678981,1.16271586444283
random,32,0.006202042640640132,0.0352151288387184,0.019719975633949158,0.9997444182949577,1.2463846965665193
optical_flow,32,0.008660319041044945,0.04249890239334451,0.0308212676423058,0.9959641730260006,1.610374788715427
attention,32,0.004499201166734168,0.027722220187522954,0.018299672182423746,1.008968530202713,1.5837018547549357
frame_diff,32,0.004218438952290909,0.026535303087400455,0.017310422714879016,1.0094729880159183,1.5559270482578318
