method,K,top_1,top_5,n_queries,chance
uniform,4,0.35558086560364466,0.6747152619589977,4390,0.00022779043280182233
random,4,0.2903568716780561,0.5908883826879271,4390,0.00022779043280182233
optical_flow,4,0.3022779043280182,0.6009111617312073,4390,0.00022779043280182233
attention,4,0.31890660592255127,0.6305239179954442,4390,0.00022779043280182233
frame_diff,4,0.3316628701594533,0.6507972665148064,4390,0.00022779043280182233
uniform,8,0.4927107061503417,0.824373576309795,4390,0.00022779043280182233
random,8,0.43743356112376613,0.7630979498861048,4390,0.00022779043280182233
optical_flow,8,0.3952164009111617,0.7312072892938497,4390,0.00022779043280182233
attention,8,0.43735763097949887,0.7799544419134397,4390,0.00022779043280182233
frame_diff,8,0.4571753986332574,0.7945330296127563,4390,0.00022779043280182233
uniform,16,0.558997722095672,0.8649202733485194,4390,0.00022779043280182233
random,16,0.5396355353075171,0.8488230827638572,4390,0.00022779043280182233
optical_flow,16,0.5107061503416856,0.8227790432801823,4390,0.00022779043280182233
attention,16,0.5571753986332574,0.8694760820045558,4390,0.00022779043280182233
frame_diff,16,0.5585421412300683,0.869248291571754,4390,0.00022779043280182233
uniform,32,0.5708428246013667,0.8728929384965831,4390,0.00022779043280182233
random,32,0.5687927107061503,0.8715261958997721,4390,0.00022779043280182233
optical_flow,32,0.5658314350797267,0.8697038724373576,4390,0.00022779043280182233
attention,32,0.570615034168565,0.8744874715261959,4390,0.00022779043280182233
frame_diff,32,0.5712984054669704,0.8753986332574032,4390,0.00022779043280182233
