method,K,top_1,t1_lo,t1_hi,top_5,t5_lo,t5_hi
uniform,4,0.8028953229398663,0.7761692650334076,0.8285077951002228,0.9187082405345212,0.8997772828507795,0.9365256124721604
uniform,8,0.8051224944320713,0.779510022271715,0.8307349665924276,0.9075723830734966,0.888641425389755,0.9265033407572383
uniform,16,0.8051224944320713,0.779510022271715,0.8307349665924276,0.9120267260579065,0.8930957683741648,0.9298440979955457
uniform,32,0.8184855233853007,0.7928730512249443,0.844097995545657,0.9164810690423163,0.8975501113585747,0.9342984409799554
random,4,0.7943578322197475,0.7694877505567929,0.8188567186340014,0.9183370452858204,0.9012620638455827,0.9339272457312547
random,8,0.8062360801781737,0.7817371937639198,0.8299925760950259,0.9138827023014106,0.8964365256124721,0.9305864884929472
random,16,0.8106904231625836,0.7861915367483296,0.8348181143281367,0.9146250927988121,0.8960653303637715,0.9317000742390497
random,32,0.81365998515219,0.7880475129918336,0.8389012620638456,0.9201930215293244,0.9031180400890868,0.937268002969562
optical_flow,4,0.8017817371937639,0.7761692650334076,0.8273942093541202,0.910913140311804,0.8919821826280624,0.9287305122494433
optical_flow,8,0.8062360801781737,0.7806236080178174,0.8318485523385301,0.9131403118040089,0.8942093541202673,0.9309576837416481
optical_flow,16,0.8028953229398663,0.77728285077951,0.8296213808463252,0.9198218262806236,0.9020044543429844,0.9365256124721604
optical_flow,32,0.8162583518930958,0.7906458797327395,0.8407572383073497,0.9198218262806236,0.9020044543429844,0.9365256124721604
attention,4,0.8062360801781737,0.779510022271715,0.8318485523385301,0.9142538975501113,0.8953229398663697,0.9320712694877505
attention,8,0.811804008908686,0.7861915367483296,0.8374164810690423,0.9097995545657016,0.8897550111358574,0.9287305122494433
attention,16,0.8129175946547884,0.7873051224944321,0.8385300668151447,0.9164810690423163,0.8986636971046771,0.9342984409799554
attention,32,0.8173719376391982,0.7917594654788419,0.8429844097995546,0.9153674832962138,0.8975501113585747,0.933184855233853
frame_diff,4,0.8006681514476615,0.7739420935412027,0.8273942093541202,0.9164810690423163,0.8975501113585747,0.9342984409799554
frame_diff,8,0.8040089086859689,0.7783964365256125,0.8296213808463252,0.910913140311804,0.8919821826280624,0.9287305122494433
frame_diff,16,0.8073496659242761,0.7806236080178174,0.8329621380846325,0.9153674832962138,0.8964365256124721,0.933184855233853
frame_diff,32,0.8140311804008908,0.7884187082405345,0.8385300668151447,0.9164810690423163,0.8986636971046771,0.9342984409799554
