K,method_a,method_b,diff_top1,p_value,largest_gap
4,uniform,random,0.008537490720118788,0.2166,False
4,uniform,optical_flow,0.0011135857461024498,1.0,False
4,uniform,attention,-0.0033407572383073497,0.7827,False
4,uniform,frame_diff,0.0022271714922048997,0.8855,False
4,random,optical_flow,-0.007423904974016337,0.269,False
4,random,attention,-0.011878247958426135,0.1039,True
4,random,frame_diff,-0.006310319227913886,0.365,False
4,optical_flow,attention,-0.004454342984409799,0.6914,False
4,optical_flow,frame_diff,0.0011135857461024498,1.0,False
4,attention,frame_diff,0.005567928730512249,0.5948,False
8,uniform,random,-0.001113585746102447,0.8915,False
8,uniform,optical_flow,-0.0011135857461024498,1.0,False
8,uniform,attention,-0.0066815144766146995,0.4395,False
8,uniform,frame_diff,0.0011135857461024498,1.0,False
8,random,optical_flow,-3.461719898608506e-18,1.0,False
8,random,attention,-0.005567928730512251,0.4581,False
8,random,frame_diff,0.0022271714922048966,0.7412,False
8,optical_flow,attention,-0.005567928730512249,0.6048,False
8,optical_flow,frame_diff,0.0022271714922048997,0.877,False
8,attention,frame_diff,0.0077951002227171495,0.3164,False
16,uniform,random,-0.005567928730512248,0.2071,False
16,uniform,optical_flow,0.0022271714922048997,0.8592,False
16,uniform,attention,-0.0077951002227171495,0.2544,False
16,uniform,frame_diff,-0.0022271714922048997,0.8646,False
16,random,optical_flow,0.007795100222717147,0.171,False
16,random,attention,-0.002227171492204902,0.7312,False
16,random,frame_diff,0.0033407572383073476,0.6,False
16,optical_flow,attention,-0.01002227171492205,0.1729,False
16,optical_flow,frame_diff,-0.004454342984409799,0.6354,False
16,attention,frame_diff,0.005567928730512249,0.4403,False
32,uniform,random,0.004825538233110617,0.0371,False
32,uniform,optical_flow,0.0022271714922048997,0.6192,False
32,uniform,attention,0.0011135857461024498,1.0,False
32,uniform,frame_diff,0.004454342984409799,0.1286,False
32,random,optical_flow,-0.002598366740905717,0.4192,False
32,random,attention,-0.003711952487008167,0.1535,False
32,random,frame_diff,-0.00037119524870081726,1.0,False
32,optical_flow,attention,-0.0011135857461024498,1.0,False
32,optical_flow,frame_diff,0.0022271714922048997,0.7293,False
32,attention,frame_diff,0.0033407572383073497,0.2464,False
