K,method_a,method_b,diff_top1,p_value,sig_0.05
4,uniform,random,0.013108614232209744,0.3898,False
4,uniform,optical_flow,0.033707865168539325,0.1063,False
4,uniform,attention,0.0056179775280898875,1.0,False
4,uniform,frame_diff,0.0056179775280898875,1.0,False
4,random,optical_flow,0.020599250936329583,0.1563,False
4,random,attention,-0.007490636704119856,0.7589,False
4,random,frame_diff,-0.007490636704119855,0.6975,False
4,optical_flow,attention,-0.028089887640449437,0.2675,False
4,optical_flow,frame_diff,-0.028089887640449437,0.224,False
4,attention,frame_diff,0.0,1.0,False
8,uniform,random,0.03183520599250937,0.0093,True
8,uniform,optical_flow,0.011235955056179775,0.7547,False
8,uniform,attention,0.02247191011235955,0.3456,False
8,uniform,frame_diff,0.016853932584269662,0.5437,False
8,random,optical_flow,-0.020599250936329593,0.216,False
8,random,attention,-0.009363295880149818,0.6455,False
8,random,frame_diff,-0.014981273408239704,0.4731,False
8,optical_flow,attention,0.011235955056179775,0.7571,False
8,optical_flow,frame_diff,0.0056179775280898875,1.0,False
8,attention,frame_diff,-0.0056179775280898875,1.0,False
16,uniform,random,9.355812005268173e-19,1.0,False
16,uniform,optical_flow,0.011235955056179775,0.6247,False
16,uniform,attention,0.0,1.0,False
16,uniform,frame_diff,0.0,1.0,False
16,random,optical_flow,0.011235955056179773,0.4605,False
16,random,attention,-1.8711624010536346e-18,1.0,False
16,random,frame_diff,-9.355812005268173e-19,1.0,False
16,optical_flow,attention,-0.011235955056179775,0.6261,False
16,optical_flow,frame_diff,-0.011235955056179775,0.6877,False
16,attention,frame_diff,0.0,1.0,False
32,uniform,random,0.0056179775280898875,0.4993,False
32,uniform,optical_flow,0.0,1.0,False
32,uniform,attention,0.0056179775280898875,1.0,False
32,uniform,frame_diff,0.0,1.0,False
32,random,optical_flow,-0.0056179775280898875,0.5011,False
32,random,attention,-3.1186040017560576e-19,1.0,False
32,random,frame_diff,-0.0056179775280898875,0.5001,False
32,optical_flow,attention,0.0056179775280898875,1.0,False
32,optical_flow,frame_diff,0.0,1.0,False
32,attention,frame_diff,-0.0056179775280898875,1.0,False
