method,K,top_1,t1_lo,t1_hi,top_5,t5_lo,t5_hi
uniform,4,0.8314606741573034,0.7752808988764045,0.8820224719101124,0.9662921348314607,0.9382022471910112,0.9887640449438202
uniform,8,0.8370786516853933,0.7808988764044944,0.8877808988764024,0.9606741573033708,0.9324438202247192,0.9887640449438202
uniform,16,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9606741573033708,0.9325842696629213,0.9887640449438202
uniform,32,0.8370786516853933,0.7808988764044944,0.8876404494382022,0.9662921348314607,0.9382022471910112,0.9887640449438202
random,4,0.8183520599250936,0.7659176029962546,0.8670411985018726,0.9550561797752809,0.9288389513108614,0.9775280898876404
random,8,0.8052434456928838,0.7509363295880149,0.8558520599250931,0.9531835205992509,0.9269662921348315,0.9737827715355806
random,16,0.8258426966292135,0.7696629213483146,0.8782771535580524,0.953183520599251,0.9213483146067416,0.9794007490636703
random,32,0.8314606741573034,0.7771535580524344,0.8838951310861423,0.9588014981273407,0.9288389513108614,0.9850187265917602
optical_flow,4,0.797752808988764,0.7359550561797753,0.8539325842696629,0.9606741573033708,0.9325842696629213,0.9887640449438202
optical_flow,8,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9662921348314607,0.9382022471910112,0.9887640449438202
optical_flow,16,0.8146067415730337,0.7584269662921348,0.8707865168539326,0.9382022471910112,0.898876404494382,0.9719101123595506
optical_flow,32,0.8370786516853933,0.7808988764044944,0.8876404494382022,0.949438202247191,0.9157303370786517,0.9775280898876404
attention,4,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9438202247191011,0.9101123595505618,0.9775280898876404
attention,8,0.8146067415730337,0.7584269662921348,0.8707865168539326,0.9438202247191011,0.9101123595505618,0.9775280898876404
attention,16,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9438202247191011,0.9044943820224719,0.9719101123595506
attention,32,0.8314606741573034,0.7752808988764045,0.8876404494382022,0.9550561797752809,0.9213483146067416,0.9831460674157303
frame_diff,4,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9606741573033708,0.9325842696629213,0.9887640449438202
frame_diff,8,0.8202247191011236,0.7640449438202247,0.8764044943820225,0.949438202247191,0.9157303370786517,0.9775280898876404
frame_diff,16,0.8258426966292135,0.7696629213483146,0.8820224719101124,0.9550561797752809,0.9213483146067416,0.9831460674157303
frame_diff,32,0.8370786516853933,0.7808988764044944,0.8876404494382022,0.9550561797752809,0.9213483146067416,0.9831460674157303
