K,method_a,method_b,diff_top1,se,ci90_lo,ci90_hi,p_tost,equivalent
4,uniform,random,0.013108614232209744,0.013108614232209739,-0.008566584293259913,0.0347838127576794,0.2998723715730096,False
4,uniform,optical_flow,0.033707865168539325,0.017634640266415046,0.004548846379155556,0.06286688395792309,0.7809979426980305,False
4,uniform,attention,0.0056179775280898875,0.020308655886567103,-0.027962547486153802,0.03919850254233358,0.239884980346944,False
4,uniform,frame_diff,0.0056179775280898875,0.014899717705800999,-0.019018824923014897,0.030254779979194672,0.16786710926509713,False
4,random,optical_flow,0.020599250936329583,0.013054089430620055,-0.000985790393414971,0.04218429226607413,0.5182812305710708,False
4,random,attention,-0.007490636704119856,0.01760765533818619,-0.03660503569874921,0.021623762290509496,0.23917999973403842,False
4,random,frame_diff,-0.007490636704119855,0.014290891261931013,-0.03112073975857811,0.016139466350338402,0.19128809412981002,False
4,optical_flow,attention,-0.028089887640449437,0.020203018468540793,-0.06149574033869712,0.005315965057798244,0.6553385098947091,False
4,optical_flow,frame_diff,-0.028089887640449437,0.01856561292204995,-0.058788277165382624,0.002608501884483746,0.6682239375253842,False
4,attention,frame_diff,0.0,0.013799996964001,-0.022818405404792932,0.022818405404792932,0.07451501390240467,False
8,uniform,random,0.03183520599250937,0.011784200952201557,0.012349935423223577,0.05132047656179517,0.8417042789380992,False
8,uniform,optical_flow,0.011235955056179775,0.01779569055223564,-0.01818936166950054,0.04066127178186009,0.31149472894178165,False
8,uniform,attention,0.02247191011235955,0.01773546807647124,-0.006853828267756119,0.051797648492475215,0.5553445079923978,False
8,uniform,frame_diff,0.016853932584269662,0.018642291050831677,-0.01397124484016717,0.04767911000870649,0.4330891775956086,False
8,random,optical_flow,-0.020599250936329593,0.015061072096685899,-0.04550285416388815,0.0043043522912289585,0.5158465333827799,False
8,random,attention,-0.009363295880149818,0.01580815944460946,-0.0355022140155436,0.016775622255243965,0.2509564175736866,False
8,random,frame_diff,-0.014981273408239704,0.0179773517557671,-0.04470696838757593,0.014744421571096523,0.39022037297635376,False
8,optical_flow,attention,0.011235955056179775,0.017795690552235635,-0.018189361669500533,0.04066127178186008,0.31149472894178165,False
8,optical_flow,frame_diff,0.0056179775280898875,0.0218156245839492,-0.030454332285737393,0.04169028734191717,0.2552949557596055,False
8,attention,frame_diff,-0.0056179775280898875,0.0218156245839492,-0.04169028734191717,0.030454332285737393,0.2552949557596055,False
16,uniform,random,9.355812005268173e-19,0.0070266145197439315,-0.011618563333961452,0.011618563333961456,0.0024726401711111135,True
16,uniform,optical_flow,0.011235955056179775,0.011235955056179775,-0.00734278653707993,0.02981469664943948,0.21821632737334068,False
16,uniform,attention,0.0,0.013799996964001,-0.022818405404792932,0.022818405404792932,0.07451501390240467,False
16,uniform,frame_diff,0.0,0.011267650337919816,-0.01863114999523617,0.01863114999523617,0.03880886970777934,True
16,random,optical_flow,0.011235955056179773,0.012428194033887785,-0.009314163226778116,0.03178607333913766,0.2408143104912045,False
16,random,attention,-1.8711624010536346e-18,0.01405322903948786,-0.023237126667922908,0.0232371266679229,0.07822491940001541,False
16,random,frame_diff,-9.355812005268173e-19,0.011576410253938506,-0.019141686987008206,0.019141686987008206,0.042897507162591345,True
16,optical_flow,attention,-0.011235955056179775,0.011235955056179775,-0.02981469664943948,0.00734278653707993,0.21821632737334068,False
16,optical_flow,frame_diff,-0.011235955056179775,0.013774130030361414,-0.034011589279217616,0.011539679166858066,0.26271167701844883,False
16,attention,frame_diff,0.0,0.011267650337919816,-0.01863114999523617,0.01863114999523617,0.03880886970777934,True
32,uniform,random,0.0056179775280898875,0.004177919463846438,-0.0012902457362566396,0.012526200792436415,0.0003597776507256937,True
32,uniform,optical_flow,0.0,0.0,0.0,0.0,0.0,True
32,uniform,attention,0.0056179775280898875,0.005617977528089887,-0.003671393268539963,0.014907348324719738,0.0056513623248555965,True
32,uniform,frame_diff,0.0,0.0,0.0,0.0,0.0,True
32,random,optical_flow,-0.0056179775280898875,0.004177919463846438,-0.012526200792436415,0.0012902457362566396,0.0003597776507256937,True
32,random,attention,-3.1186040017560576e-19,0.002655810653993999,-0.00439140416764507,0.00439140416764507,1.2419586574008456e-12,True
32,random,frame_diff,-0.0056179775280898875,0.004177919463846438,-0.012526200792436415,0.0012902457362566396,0.0003597776507256937,True
32,optical_flow,attention,0.0056179775280898875,0.005617977528089887,-0.003671393268539963,0.014907348324719738,0.0056513623248555965,True
32,optical_flow,frame_diff,0.0,0.0,0.0,0.0,0.0,True
32,attention,frame_diff,-0.0056179775280898875,0.005617977528089887,-0.014907348324719738,0.003671393268539963,0.0056513623248555965,True
